year,month,state,capacity
2016,9,sa,6839.0
2016,10,sa,6951.0
2016,11,sa,8787.0
2016,12,sa,11701.0
2017,1,sa,6199.0
2017,2,sa,7783.0
2017,3,sa,10151.0
2017,4,sa,5896.0
2017,5,sa,7789.0
2017,6,sa,8141.0
2017,7,sa,8492.0
2017,8,sa,10639.0
2017,9,sa,10982.0
2017,10,sa,13667.0
2017,11,sa,15180.0
2017,12,sa,19724.0
2018,1,sa,10452.0
2018,2,sa,13941.0
2018,3,sa,14311.0
2018,4,sa,18250.0
2018,5,sa,154837.0
2018,6,sa,19602.0
2018,7,sa,13698.0
2018,8,sa,15161.0
2018,9,sa,154983.0
2018,10,sa,17792.0
2018,11,sa,24981.0
2018,12,sa,25592.0
2019,1,sa,13556.0
2019,2,sa,147973.0
2019,3,sa,23660.0
2019,4,sa,20848.0
2019,5,sa,22218.0
2019,6,sa,22477.0
2019,7,sa,28161.0
2019,8,sa,22490.0
2019,9,sa,21927.0
2019,10,sa,33267.0
2019,11,sa,25377.0
2019,12,sa,34231.0
2020,1,sa,39064.0
2020,2,sa,23995.0
2020,3,sa,26920.0
2020,4,sa,23492.0
2020,5,sa,24318.0
2020,6,sa,25926.0
2020,7,sa,28773.0
2020,8,sa,24964.0
2020,9,sa,38017.0
2020,10,sa,26007.0
2020,11,sa,26359.0
2020,12,sa,36454.0
2021,1,sa,19300.0
2021,2,sa,23839.0
2021,3,sa,63922.0
2021,4,sa,41178.0
2021,5,sa,22560.0
2021,6,sa,24918.0
2021,7,sa,21868.0
2021,8,sa,32475.0
2021,9,sa,45031.0
2021,10,sa,24462.0
2021,11,sa,35447.0
2021,12,sa,32695.0
2022,1,sa,12907.0
2022,2,sa,20499.0
2022,3,sa,19245.0
2022,4,sa,15332.0
2022,5,sa,15620.0
2022,6,sa,10270.0
2007,4,tas,2.0
2007,6,tas,1.0
2007,7,tas,5.0
2007,8,tas,2.0
2007,9,tas,5.0
2007,10,tas,1.0
2007,11,tas,13.0
2007,12,tas,10.0
2008,1,tas,13.0
2008,2,tas,13.0
2008,3,tas,5.0
2008,4,tas,18.0
2008,5,tas,19.0
2008,6,tas,6.0
2008,7,tas,25.0
2008,8,tas,13.0
2008,9,tas,36.0
2008,10,tas,13.0
2008,11,tas,33.0
2008,12,tas,43.0
2009,1,tas,38.0
2009,2,tas,25.0
2009,3,tas,69.0
2009,4,tas,37.0
2009,5,tas,47.0
2009,6,tas,50.0
2009,7,tas,68.0
2009,8,tas,207.0
2009,9,tas,295.0
2009,10,tas,346.0
2009,11,tas,293.0
2009,12,tas,232.0
2010,1,tas,242.0
2010,2,tas,232.0
2010,3,tas,316.0
2010,4,tas,349.0
2010,5,tas,309.0
2010,6,tas,340.0
2010,7,tas,174.0
2010,8,tas,138.0
2010,9,tas,214.0
2010,10,tas,211.0
2010,11,tas,330.0
2010,12,tas,185.0
2011,1,tas,234.0
2011,2,tas,430.0
2011,3,tas,387.0
2011,4,tas,418.0
2011,5,tas,873.0
2011,6,tas,1372.0
2011,7,tas,365.0
2011,8,tas,322.0
